"","collect_date","Inv_PV_kW","Inv_kW","Inv_RS_V","Inv_ST_V","Inv_TR_V","Inv_R_A","Inv_S_A","Inv_T_A","Inv_Hz","DC_hat","AC_hat","decision","tau","error"
"1",2025-08-26,0,0,0,0,0,0,0,0,0,3.53445997461677e-12,4.49226051568985e-11,0,51.1349138227399,27.6296861966464
"2",2025-08-26 00:15:00,0,0,0,0,0,0,0,0,0,3.86302061378956e-11,-4.09220531582832e-11,0,51.1349138227399,27.6296861966464
"3",2025-08-26 00:30:00,0,0,0,0,0,0,0,0,0,2.91248932480812e-11,5.90801797807217e-11,0,51.1349138227399,27.6296861966464
"4",2025-08-26 00:45:00,0,0,0,0,0,0,0,0,0,-3.90735790133476e-11,-1.59867946058512e-11,0,51.1349138227399,27.6296861966464
"5",2025-08-26 01:00:00,0,0,0,0,0,0,0,0,0,1.93520244210959e-11,9.93223488330841e-12,0,51.1349138227399,27.6296861966464
"6",2025-08-26 01:15:00,0,0,0,0,0,0,0,0,0,2.58759334683418e-11,-1.31415212526917e-11,0,51.1349138227399,27.6296861966464
"7",2025-08-26 01:30:00,0,0,0,0,0,0,0,0,0,1.15132965147495e-11,3.69343161582947e-11,0,51.1349138227399,27.6296861966464
"8",2025-08-26 01:45:00,0,0,0,0,0,0,0,0,0,-4.69332048669457e-12,-1.4364467933774e-11,0,51.1349138227399,27.6296861966464
"9",2025-08-26 02:00:00,0,0,0,0,0,0,0,0,0,4.66357171535492e-11,-3.72925773262978e-11,0,51.1349138227399,27.6296861966464
"10",2025-08-26 02:15:00,0,0,0,0,0,0,0,0,0,-1.3768395408988e-11,-2.69267093390226e-11,0,51.1349138227399,27.6296861966464
"11",2025-08-26 02:30:00,0,0,0,0,0,0,0,0,0,3.5322904586792e-11,-3.54898497462273e-11,0,51.1349138227399,27.6296861966464
"12",2025-08-26 02:45:00,0,0,0,0,0,0,0,0,0,-1.48081053048372e-11,-3.21373976767063e-11,0,51.1349138227399,27.6296861966464
"13",2025-08-26 03:00:00,0,0,0,0,0,0,0,0,0,9.59946773946285e-12,3.84567640721798e-11,0,51.1349138227399,27.6296861966464
"14",2025-08-26 03:15:00,0,0,0,0,0,0,0,0,0,-4.25330772995949e-11,-4.3589249253273e-11,0,51.1349138227399,27.6296861966464
"15",2025-08-26 03:30:00,0,0,0,0,0,0,0,0,0,-8.62980168312788e-12,1.75779704004526e-11,0,51.1349138227399,27.6296861966464
"16",2025-08-26 03:45:00,0,0,0,0,0,0,0,0,0,3.70607301592827e-11,-2.79752239584923e-11,0,51.1349138227399,27.6296861966464
"17",2025-08-26 04:00:00,0,0,0,0,0,0,0,0,0,-6.41555637121201e-11,3.06955482810736e-11,0,51.1349138227399,27.6296861966464
"18",2025-08-26 04:15:00,0,0,0,0,0,0,0,0,0,-2.26131677627563e-11,2.67420578747988e-11,0,51.1349138227399,27.6296861966464
"19",2025-08-26 04:30:00,0,0,0,0,0,0,0,0,0,-2.66225971281528e-11,-2.55608782172203e-11,0,51.1349138227399,27.6296861966464
"20",2025-08-26 04:45:00,0,0,0,0,0,0,0,0,0,-1.88327487558126e-11,-5.15962727367878e-11,0,51.1349138227399,27.6296861966464
"21",2025-08-26 05:00:00,0,0,0,0,0,0,0,0,0,2.07332987338305e-12,-2.96551175415516e-11,0,51.1349138227399,27.6296861966464
"22",2025-08-26 05:15:00,0,0,0,0,0,0,0,0,0,-0.00426138751208782,0.00329683721065521,0,51.1349138227399,27.6296861966464
"23",2025-08-26 05:30:00,0,0,0,0,0,0,0,0,0,0.150746509432793,0.0431993156671524,0,51.1349138227399,27.6296861966464
"24",2025-08-26 05:45:00,0,0,0,0,0,0,0,0,0,0.39733561873436,0.215901705622673,0,51.1349138227399,27.6296861966464
"25",2025-08-26 06:00:00,0,0,0,0,0,0,0,0,0,0.441064612567425,0.265668734908104,0,51.1349138227399,27.6296861966464
"26",2025-08-26 06:15:00,0,0,373,376,374,5.1,5,5.3,60,0.548962698876858,0.242844708263874,0,51.1349138227399,27.6296861966464
"27",2025-08-26 06:30:00,0,0,372,376,374,4.6,4.5,4.8,59.9,1.3315955042839,1.351154088974,0,51.1349138227399,27.6296861966464
"28",2025-08-26 06:45:00,0,0,377,380,378,0.2,0.1,0.2,60,2.61927130222321,3.35664123296738,0,51.1349138227399,27.6296861966464
"29",2025-08-26 07:00:00,1.3,1.2,376,379,377,4.7,4.6,5,60,4.47666865885258,3.96150290966034,0,51.1349138227399,27.6296861966464
"30",2025-08-26 07:15:00,2.2,2.1,374,377,377,5.1,5.2,5.7,60,4.23075076937675,4.33103522658348,0,51.1349138227399,27.6296861966464
"31",2025-08-26 07:30:00,2.2,2,375,378,376,5,4.9,5.4,60,5.84272245168686,5.47860916852951,0,51.1349138227399,27.6296861966464
"32",2025-08-26 07:45:00,1.3,1.1,377,380,379,4.6,4.5,4.9,60,7.70019817352295,7.09009830355644,0,51.1349138227399,27.6296861966464
"33",2025-08-26 08:00:00,3.1,3,376,379,378,5.9,5.7,6.3,59.9,8.30253496170044,9.04689960479736,0,51.1349138227399,27.6296861966464
"34",2025-08-26 08:15:00,4.5,4.4,374,376,376,7.5,7.4,7.9,59.9,10.288793823123,10.2521827697754,0,51.1349138227399,27.6296861966464
"35",2025-08-26 08:30:00,4.9,4.7,377,379,379,8.1,7.8,8.5,60,12.1121473789215,9.85576985478401,0,51.1349138227399,27.6296861966464
"36",2025-08-26 08:45:00,6.3,6.2,376,380,378,10,9.8,10.6,60,15.3845002442598,15.630953592062,0,51.1349138227399,27.6296861966464
"37",2025-08-26 09:00:00,4.5,4.4,375,377,377,7.7,7.4,8.1,60,18.4046224176884,19.2474880218506,0,51.1349138227399,27.6296861966464
"38",2025-08-26 09:15:00,6.4,6.3,375,377,377,10.1,9.8,10.8,60,17.4126865983009,15.6249926686287,0,51.1349138227399,27.6296861966464
"39",2025-08-26 09:30:00,5,4.8,372,376,375,8.1,7.9,8.5,60,19.3137338668108,19.320050740242,0,51.1349138227399,27.6296861966464
"40",2025-08-26 09:45:00,8.8,8.7,378,381,380,13.9,13.6,14.4,60,15.7998594284058,16.923725605011,0,51.1349138227399,27.6296861966464
"41",2025-08-26 10:00:00,30.4,32.6,380,382,381,49.7,49.3,50.4,60,20.3990944027901,20.558606159687,0,51.1349138227399,27.6296861966464
"42",2025-08-26 10:15:00,15.4,15.6,378,380,380,23.8,23.4,24.6,60,24.2080383688211,23.1114258766174,0,51.1349138227399,27.6296861966464
"43",2025-08-26 10:30:00,26.4,26.8,378,380,380,41,40.2,41.5,60,25.6851351857185,24.3512383460999,0,51.1349138227399,27.6296861966464
"44",2025-08-26 10:45:00,31.4,31.6,379,381,381,48.3,47.8,49.1,60,22.6285677820444,25.1350729107857,0,51.1349138227399,27.6296861966464
"45",2025-08-26 11:00:00,23.4,25.5,380,382,382,38.6,38.3,39.4,60,25.8148333787918,26.1256754159927,0,51.1349138227399,27.6296861966464
"46",2025-08-26 11:15:00,20,19.7,379,382,380,30.6,30.1,31.2,60,21.9359531283379,22.5325306952,0,51.1349138227399,27.6296861966464
"47",2025-08-26 11:30:00,26.3,23,379,383,382,36.7,36.3,37.4,59.9,29.877547121048,27.8928328752518,0,51.1349138227399,27.6296861966464
"48",2025-08-26 11:45:00,38,37.4,379,381,381,57.2,56.7,58.1,59.9,41.3659372031689,38.0935261487961,0,51.1349138227399,27.6296861966464
