"","collect_date","Inv_PV_kW","Inv_kW","Inv_RS_V","Inv_ST_V","Inv_TR_V","Inv_R_A","Inv_S_A","Inv_T_A","Inv_Hz","DC_hat","AC_hat","decision","tau","error"
"1",2025-08-07,0,0,0,0,0,0,0,0,0,7.79947265982628e-12,-2.74949334561825e-11,0,51.1349138227399,48.5755498798022
"2",2025-08-07 00:15:00,0,0,0,0,0,0,0,0,0,3.8612574338913e-11,-3.48685272037983e-11,0,51.1349138227399,48.5755498798022
"3",2025-08-07 00:30:00,0,0,0,0,0,0,0,0,0,5.77717237174511e-11,4.54357229173183e-11,0,51.1349138227399,48.5755498798022
"4",2025-08-07 00:45:00,0,0,0,0,0,0,0,0,0,-5.47902323305607e-11,5.62162837013602e-12,0,51.1349138227399,48.5755498798022
"5",2025-08-07 01:00:00,0,0,0,0,0,0,0,0,0,1.60726401954889e-11,1.6797848045826e-11,0,51.1349138227399,48.5755498798022
"6",2025-08-07 01:15:00,0,0,0,0,0,0,0,0,0,-1.88570730388165e-11,1.11870840191841e-11,0,51.1349138227399,48.5755498798022
"7",2025-08-07 01:30:00,0,0,0,0,0,0,0,0,0,-2.42835432291031e-11,1.10797388479114e-11,0,51.1349138227399,48.5755498798022
"8",2025-08-07 01:45:00,0,0,0,0,0,0,0,0,0,-1.13564264029264e-11,-4.02737781405449e-11,0,51.1349138227399,48.5755498798022
"9",2025-08-07 02:00:00,0,0,0,0,0,0,0,0,0,3.92889454960823e-11,5.7453814893961e-11,0,51.1349138227399,48.5755498798022
"10",2025-08-07 02:15:00,0,0,0,0,0,0,0,0,0,1.14812422543764e-11,-4.76682521402836e-11,0,51.1349138227399,48.5755498798022
"11",2025-08-07 02:30:00,0,0,0,0,0,0,0,0,0,4.86487522721291e-12,-3.77684496343136e-11,0,51.1349138227399,48.5755498798022
"12",2025-08-07 02:45:00,0,0,0,0,0,0,0,0,0,4.80271503329277e-11,-1.34984496980906e-12,0,51.1349138227399,48.5755498798022
"13",2025-08-07 03:00:00,0,0,0,0,0,0,0,0,0,3.08390166610479e-11,1.53794633224607e-11,0,51.1349138227399,48.5755498798022
"14",2025-08-07 03:15:00,0,0,0,0,0,0,0,0,0,-7.02555850148201e-12,-3.58577854931355e-11,0,51.1349138227399,48.5755498798022
"15",2025-08-07 03:30:00,0,0,0,0,0,0,0,0,0,-6.74227476119995e-11,-3.41115593910217e-11,0,51.1349138227399,48.5755498798022
"16",2025-08-07 03:45:00,0,0,0,0,0,0,0,0,0,4.8196580260992e-11,-2.32276543974876e-11,0,51.1349138227399,48.5755498798022
"17",2025-08-07 04:00:00,0,0,0,0,0,0,0,0,0,-1.41924889758229e-11,-4.56665754318237e-11,0,51.1349138227399,48.5755498798022
"18",2025-08-07 04:15:00,0,0,0,0,0,0,0,0,0,4.12286147475243e-11,-1.46348960697651e-12,0,51.1349138227399,48.5755498798022
"19",2025-08-07 04:30:00,0,0,0,0,0,0,0,0,0,4.48551811277866e-11,-6.0328571125865e-12,0,51.1349138227399,48.5755498798022
"20",2025-08-07 04:45:00,0,0,0,0,0,0,0,0,0,2.44692470878363e-11,-4.43560220301151e-11,0,51.1349138227399,48.5755498798022
"21",2025-08-07 05:00:00,0,0,0,0,0,0,0,0,0,2.663504332304e-12,3.65335382521153e-11,0,51.1349138227399,48.5755498798022
"22",2025-08-07 05:15:00,0,0,0,0,0,0,0,0,0,0.025909411907196,0.00323843061923981,0,51.1349138227399,48.5755498798022
"23",2025-08-07 05:30:00,0.1,0,375,379,377,4.7,4.8,5,59.9,0.243249043822289,0.0705895036458969,0,51.1349138227399,48.5755498798022
"24",2025-08-07 05:45:00,0.4,0.2,374,377,376,4.7,4.7,5,60,0.457614153623581,0.40140075981617,0,51.1349138227399,48.5755498798022
"25",2025-08-07 06:00:00,0,0,377,381,380,0.2,0.1,0.2,59.9,0.584785333275795,0.492349334061146,0,51.1349138227399,48.5755498798022
"26",2025-08-07 06:15:00,2.4,2.3,377,381,378,5.3,5.5,6,60,1.69542859196663,1.54385250806808,0,51.1349138227399,48.5755498798022
"27",2025-08-07 06:30:00,3.6,3.3,377,379,378,6.4,6.4,7,60,2.88766635656357,3.21764826774597,0,51.1349138227399,48.5755498798022
"28",2025-08-07 06:45:00,3.9,3.7,374,377,376,6.8,6.7,7.3,59.9,5.21118562817574,5.95682859420776,0,51.1349138227399,48.5755498798022
"29",2025-08-07 07:00:00,6,5.9,378,381,380,9.7,9.7,10.5,59.9,7.43743461966515,7.26718354225159,0,51.1349138227399,48.5755498798022
"30",2025-08-07 07:15:00,4.6,4.4,378,381,379,7.8,7.6,8.3,59.9,7.92595419287682,8.43036058545113,0,51.1349138227399,48.5755498798022
"31",2025-08-07 07:30:00,5,4.7,376,380,378,8.4,8.2,8.9,59.9,10.6535652637482,9.88574147522449,0,51.1349138227399,48.5755498798022
