"","collect_date","Inv_PV_kW","Inv_kW","Inv_RS_V","Inv_ST_V","Inv_TR_V","Inv_R_A","Inv_S_A","Inv_T_A","Inv_Hz","DC_hat","AC_hat","decision","tau","error"
"1",2025-08-27,0,0,0,0,0,0,0,0,0,2.67615281045437e-11,9.22235567122698e-12,0,51.1349138227399,26.5494551469973
"2",2025-08-27 00:15:00,0,0,0,0,0,0,0,0,0,2.76728719472885e-11,-3.89731526374817e-11,0,51.1349138227399,26.5494551469973
"3",2025-08-27 00:30:00,0,0,0,0,0,0,0,0,0,5.80371804535389e-11,7.11076483130455e-11,0,51.1349138227399,26.5494551469973
"4",2025-08-27 00:45:00,0,0,0,0,0,0,0,0,0,-2.07000710070133e-11,-1.67673379182816e-11,0,51.1349138227399,26.5494551469973
"5",2025-08-27 01:00:00,0,0,0,0,0,0,0,0,0,2.69557666033506e-11,2.79490426182747e-11,0,51.1349138227399,26.5494551469973
"6",2025-08-27 01:15:00,0,0,0,0,0,0,0,0,0,-5.16304224729538e-11,-2.83980146050453e-11,0,51.1349138227399,26.5494551469973
"7",2025-08-27 01:30:00,0,0,0,0,0,0,0,0,0,-6.36173086240888e-12,3.68847995996475e-11,0,51.1349138227399,26.5494551469973
"8",2025-08-27 01:45:00,0,0,0,0,0,0,0,0,0,8.65409709513187e-12,-1.42145380377769e-11,0,51.1349138227399,26.5494551469973
"9",2025-08-27 02:00:00,0,0,0,0,0,0,0,0,0,3.78454625606537e-11,5.19208237528801e-12,0,51.1349138227399,26.5494551469973
"10",2025-08-27 02:15:00,0,0,0,0,0,0,0,0,0,3.43292914330959e-11,-3.8459487259388e-11,0,51.1349138227399,26.5494551469973
"11",2025-08-27 02:30:00,0,0,0,0,0,0,0,0,0,4.41935136914253e-11,-2.96359546482563e-11,0,51.1349138227399,26.5494551469973
"12",2025-08-27 02:45:00,0,0,0,0,0,0,0,0,0,2.45509054511786e-11,-3.15942130982876e-11,0,51.1349138227399,26.5494551469973
"13",2025-08-27 03:00:00,0,0,0,0,0,0,0,0,0,4.32621501386166e-12,6.03571943938732e-11,0,51.1349138227399,26.5494551469973
"14",2025-08-27 03:15:00,0,0,0,0,0,0,0,0,0,-2.64550410211086e-11,-9.74538736045361e-12,0,51.1349138227399,26.5494551469973
"15",2025-08-27 03:30:00,0,0,0,0,0,0,0,0,0,-4.29917462170124e-11,-3.61159443855286e-11,0,51.1349138227399,26.5494551469973
"16",2025-08-27 03:45:00,0,0,0,0,0,0,0,0,0,2.06136703491211e-11,-1.39946267008781e-11,0,51.1349138227399,26.5494551469973
"17",2025-08-27 04:00:00,0,0,0,0,0,0,0,0,0,-3.47318463027477e-11,-1.42839085310698e-11,0,51.1349138227399,26.5494551469973
"18",2025-08-27 04:15:00,0,0,0,0,0,0,0,0,0,6.73196278512478e-13,8.96444544196129e-13,0,51.1349138227399,26.5494551469973
"19",2025-08-27 04:30:00,0,0,0,0,0,0,0,0,0,3.38841117918491e-11,-1.28570785745978e-11,0,51.1349138227399,26.5494551469973
"20",2025-08-27 04:45:00,0,0,0,0,0,0,0,0,0,7.44652189314365e-12,-3.39583717286587e-11,0,51.1349138227399,26.5494551469973
"21",2025-08-27 05:00:00,0,0,0,0,0,0,0,0,0,-1.53831951320171e-12,2.37271655350924e-12,0,51.1349138227399,26.5494551469973
"22",2025-08-27 05:15:00,0,0,0,0,0,0,0,0,0,0.006942068785429,0.00468624942004681,0,51.1349138227399,26.5494551469973
"23",2025-08-27 05:30:00,0,0,0,0,0,0,0,0,0,0.172535061836243,0.0376829568296671,0,51.1349138227399,26.5494551469973
"24",2025-08-27 05:45:00,0,0,377,380,378,5,4.9,5.3,60,0.310376018285751,0.273832324147224,0,51.1349138227399,26.5494551469973
"25",2025-08-27 06:00:00,0.3,0.1,375,378,377,4.8,4.8,5.2,60,0.433036452531815,0.327348165214062,0,51.1349138227399,26.5494551469973
"26",2025-08-27 06:15:00,0,0,374,377,376,0.2,0.1,0.1,59.9,1.16515944600105,0.815331818163395,0,51.1349138227399,26.5494551469973
"27",2025-08-27 06:30:00,1.8,1.6,374,377,374,5,5.1,5.5,59.9,2.25925786495209,2.55598878860474,0,51.1349138227399,26.5494551469973
"28",2025-08-27 06:45:00,1.7,1.5,376,379,377,5,5,5.5,60,4.59608973562717,5.27571856975555,0,51.1349138227399,26.5494551469973
"29",2025-08-27 07:00:00,3.5,3.3,375,379,377,6.7,6.5,7.2,59.9,6.07238582968712,6.20261120796204,0,51.1349138227399,26.5494551469973
"30",2025-08-27 07:15:00,3,2.8,375,378,375,6,5.9,6.6,60,6.77357493340969,7.56014753878117,0,51.1349138227399,26.5494551469973
"31",2025-08-27 07:30:00,2.4,2.2,374,376,375,5.4,5.4,6.1,59.9,8.7227897644043,8.56767231822014,0,51.1349138227399,26.5494551469973
"32",2025-08-27 07:45:00,6.8,6.8,376,378,377,11.1,10.9,12.2,60,11.4527047157288,10.4344603717327,0,51.1349138227399,26.5494551469973
"33",2025-08-27 08:00:00,18.3,19.3,376,379,378,29.2,28.9,30.6,60,12.2957000255585,12.5274365901947,0,51.1349138227399,26.5494551469973
"34",2025-08-27 08:15:00,20.2,20.8,375,377,376,32.1,31.7,33,59.9,13.9182929456234,15.0915787696838,0,51.1349138227399,26.5494551469973
"35",2025-08-27 08:30:00,12,12.2,379,382,381,18.7,18.4,19.8,60,14.5925325036049,13.4639862418175,0,51.1349138227399,26.5494551469973
"36",2025-08-27 08:45:00,24,23.7,379,381,379,36.2,36.2,37.4,60,19.5068879067898,18.1335085868835,0,51.1349138227399,26.5494551469973
"37",2025-08-27 09:00:00,30.5,30.3,377,380,378,46.5,46.2,47.6,59.9,21.471947324276,22.3103790283203,0,51.1349138227399,26.5494551469973
"38",2025-08-27 09:15:00,34.7,33.3,377,378,378,51.5,51.2,52.8,60,23.325828409195,25.0465126872063,0,51.1349138227399,26.5494551469973
"39",2025-08-27 09:30:00,25.2,24.3,376,378,378,37.8,37.5,38.7,60,22.3234095394611,22.6750756859779,0,51.1349138227399,26.5494551469973
"40",2025-08-27 09:45:00,40,40,377,379,378,61.2,60.7,62.3,60,25.1103437423706,25.4748463630676,0,51.1349138227399,26.5494551469973
"41",2025-08-27 10:00:00,13.8,13.4,376,378,377,21.3,21,22,59.9,27.5970567464828,27.577121758461,0,51.1349138227399,26.5494551469973
"42",2025-08-27 10:15:00,40.4,40.7,377,379,378,61.9,61.9,63.2,59.9,29.7384554982185,28.4807424545288,0,51.1349138227399,26.5494551469973
"43",2025-08-27 10:30:00,10.4,10.2,375,377,376,16.3,15.8,17,60,31.2293245792389,31.7842486023903,0,51.1349138227399,26.5494551469973
"44",2025-08-27 10:45:00,38,38.4,375,378,377,58.8,58.7,59.9,60,26.3546631455421,31.1663245797157,0,51.1349138227399,26.5494551469973
"45",2025-08-27 11:00:00,34.9,29.5,376,378,377,49.3,48.8,50.3,60,31.3009405493736,30.4235557675362,0,51.1349138227399,26.5494551469973
"46",2025-08-27 11:15:00,32.6,32.8,376,378,378,50,49.7,51,60,28.8066752433777,24.950847402215,0,51.1349138227399,26.5494551469973
"47",2025-08-27 11:30:00,36.4,36,377,379,379,55.3,55,56.4,60,33.9397969722748,28.279570043087,0,51.1349138227399,26.5494551469973
"48",2025-08-27 11:45:00,36.2,35.6,382,384,383,54.3,53.8,55.2,60,38.3399240672588,34.8521700561047,0,51.1349138227399,26.5494551469973
"49",2025-08-27 12:00:00,21.9,21.5,377,380,378,33.6,33,34.4,60,34.6243646621704,33.2971937954426,0,51.1349138227399,26.5494551469973
"50",2025-08-27 12:15:00,32.2,31.6,378,382,381,48.2,47.8,49.5,60,27.8350385665894,31.2521032333374,0,51.1349138227399,26.5494551469973
"51",2025-08-27 12:30:00,37.1,36.6,379,382,381,55.9,55.5,56.8,60,35.5146297812462,35.0013566017151,0,51.1349138227399,26.5494551469973
"52",2025-08-27 12:45:00,22.4,22.6,377,380,379,34.6,34.3,35.5,60,34.7297397375107,38.1056655466557,0,51.1349138227399,26.5494551469973
"53",2025-08-27 13:00:00,40.2,40.4,376,379,377,61.8,61.4,63,60,37.2837225079536,35.5896958112717,0,51.1349138227399,26.5494551469973
"54",2025-08-27 13:15:00,39.3,38.9,374,377,376,59.7,59.6,61,60,34.5868880033493,36.7678793668747,0,51.1349138227399,26.5494551469973
"55",2025-08-27 13:30:00,34.5,34.8,377,379,378,53.1,52.7,54.1,59.9,27.9014121770859,29.7609576225281,0,51.1349138227399,26.5494551469973
"56",2025-08-27 13:45:00,40,39.6,377,380,379,60.5,60.3,61.5,60,29.582422208786,30.6826394915581,0,51.1349138227399,26.5494551469973
"57",2025-08-27 14:00:00,39.7,39.2,378,380,379,59.9,59.5,60.8,59.9,31.8875524044037,31.6603381931782,0,51.1349138227399,26.5494551469973
"58",2025-08-27 14:15:00,40.1,39.8,377,380,379,60.7,60.5,61.8,59.9,31.5120452642441,30.3360167741776,0,51.1349138227399,26.5494551469973
"59",2025-08-27 14:30:00,36.5,36.4,377,378,378,55.7,55.2,56.7,60,28.7097103118897,30.0177153289318,0,51.1349138227399,26.5494551469973
"60",2025-08-27 14:45:00,33.4,33.1,377,380,379,50.7,50.5,51.7,60,26.4043236732483,29.195010381937,0,51.1349138227399,26.5494551469973
"61",2025-08-27 15:00:00,31.2,31,376,379,378,47.7,47.3,48.4,59.9,25.4204677224159,25.7428955316544,0,51.1349138227399,26.5494551469973
"62",2025-08-27 15:15:00,33.4,32.7,376,378,377,50.5,50,51.3,60,31.894510692358,28.002729165554,0,51.1349138227399,26.5494551469973
"63",2025-08-27 15:30:00,20,19.9,375,378,376,30.8,30.3,31.5,59.9,24.2055844545364,21.0235821008682,0,51.1349138227399,26.5494551469973
"64",2025-08-27 15:45:00,32.5,32.1,376,379,378,49.4,49.2,50.2,60,24.7864224255085,27.230702829361,0,51.1349138227399,26.5494551469973
"65",2025-08-27 16:00:00,18,18,375,378,377,27.8,27.3,28.5,59.9,22.9217907547951,22.715771651268,0,51.1349138227399,26.5494551469973
"66",2025-08-27 16:15:00,18.1,18,376,378,377,28,27.6,28.7,60,20.5132856845856,20.6676216125488,0,51.1349138227399,26.5494551469973
"67",2025-08-27 16:30:00,14.2,14.1,375,378,378,22.1,21.5,22.7,60,16.8767369747162,16.7774539470673,0,51.1349138227399,26.5494551469973
"68",2025-08-27 16:45:00,8.2,8,377,380,378,12.6,12.4,13.5,60,14.5997901201248,15.1433051943779,0,51.1349138227399,26.5494551469973
"69",2025-08-27 17:00:00,6.4,6.2,377,380,379,10,9.6,10.5,60,11.0752370655537,12.1253941893578,0,51.1349138227399,26.5494551469973
"70",2025-08-27 17:15:00,5.3,5.1,380,383,381,8.6,8.3,8.9,60,10.478445982933,8.65193344950676,0,51.1349138227399,26.5494551469973
"71",2025-08-27 17:30:00,4.9,4.6,379,382,382,7.9,7.6,8.1,60,8.60556896924973,7.47567526102066,0,51.1349138227399,26.5494551469973
"72",2025-08-27 17:45:00,3.6,3.4,378,382,381,6.3,6.2,6.8,60,6.54755375385284,7.19097173213959,0,51.1349138227399,26.5494551469973
"73",2025-08-27 18:00:00,2.2,2,379,382,381,4.9,4.9,5.5,59.9,5.21927659213543,4.47827365994453,0,51.1349138227399,26.5494551469973
"74",2025-08-27 18:15:00,1.2,0.8,380,383,382,4.3,4.2,4.6,59.9,2.88060915470123,3.14728039801121,0,51.1349138227399,26.5494551469973
"75",2025-08-27 18:30:00,1,0.7,375,378,376,4.2,4.3,4.5,59.9,2.26921920776367,1.07972597703338,0,51.1349138227399,26.5494551469973
"76",2025-08-27 18:45:00,0,0,375,377,377,0.5,0.4,0.4,60,0.879179835319519,0.752501791715622,0,51.1349138227399,26.5494551469973
"77",2025-08-27 19:00:00,0,0,373,376,375,4.2,4.1,4.4,59.9,0.388411233574152,0.104950628243387,0,51.1349138227399,26.5494551469973
"78",2025-08-27 19:15:00,0,0,373,376,375,4.2,4.1,4.4,59.9,0.0916543526574969,0.243384435772896,0,51.1349138227399,26.5494551469973
"79",2025-08-27 19:30:00,0,0,373,376,375,4.2,4.1,4.4,59.9,-0.013704121671617,-0.0271522726863623,0,51.1349138227399,26.5494551469973
"80",2025-08-27 19:45:00,0,0,373,376,375,4.2,4.1,4.4,59.9,-0.0698051884770393,-0.107159124314785,0,51.1349138227399,26.5494551469973
"81",2025-08-27 20:00:00,0,0,373,376,375,4.2,4.1,4.4,59.9,0.000634789373725653,-3.50372157990932e-11,0,51.1349138227399,26.5494551469973
"82",2025-08-27 20:15:00,0,0,373,376,375,4.2,4.1,4.4,59.9,0.0116609655320644,1.14087155088782e-12,0,51.1349138227399,26.5494551469973
"83",2025-08-27 20:30:00,0,0,373,376,375,4.2,4.1,4.4,59.9,0.0161183416843414,-9.54042188823223e-12,0,51.1349138227399,26.5494551469973
"84",2025-08-27 20:45:00,0,0,373,376,375,4.2,4.1,4.4,59.9,0.00219031777232885,-3.33417542278767e-11,0,51.1349138227399,26.5494551469973
"85",2025-08-27 21:00:00,0,0,373,376,375,4.2,4.1,4.4,59.9,0.0109485015273094,1.82558074593544e-11,0,51.1349138227399,26.5494551469973
