"","collect_date","Inv_PV_kW","Inv_kW","Inv_RS_V","Inv_ST_V","Inv_TR_V","Inv_R_A","Inv_S_A","Inv_T_A","Inv_Hz","DC_hat","AC_hat","decision","tau","error"
"1",2025-08-05,0,0,0,0,0,0,0,0,0,4.63206842541695e-11,1.61053333431482e-12,0,51.1349138227399,39.9840733229825
"2",2025-08-05 00:15:00,0,0,0,0,0,0,0,0,0,-5.78210595995188e-12,3.76059040427208e-11,0,51.1349138227399,39.9840733229825
"3",2025-08-05 00:30:00,0,0,0,0,0,0,0,0,0,3.8143876940012e-11,5.26575408875942e-11,0,51.1349138227399,39.9840733229825
"4",2025-08-05 00:45:00,0,0,0,0,0,0,0,0,0,-1.6053537838161e-12,-2.29082480072975e-11,0,51.1349138227399,39.9840733229825
"5",2025-08-05 01:00:00,0,0,0,0,0,0,0,0,0,-7.96553306281567e-12,4.03985157608986e-11,0,51.1349138227399,39.9840733229825
"6",2025-08-05 01:15:00,0,0,0,0,0,0,0,0,0,-2.37803533673286e-11,-2.19105891883373e-11,0,51.1349138227399,39.9840733229825
"7",2025-08-05 01:30:00,0,0,0,0,0,0,0,0,0,1.72748379409313e-11,2.7313282713294e-11,0,51.1349138227399,39.9840733229825
"8",2025-08-05 01:45:00,0,0,0,0,0,0,0,0,0,-3.44442799687386e-11,-4.1473425924778e-11,0,51.1349138227399,39.9840733229825
"9",2025-08-05 02:00:00,0,0,0,0,0,0,0,0,0,3.06589566171169e-11,4.90533821284771e-11,0,51.1349138227399,39.9840733229825
"10",2025-08-05 02:15:00,0,0,0,0,0,0,0,0,0,9.46546345949173e-12,-2.29191109538078e-11,0,51.1349138227399,39.9840733229825
"11",2025-08-05 02:30:00,0,0,0,0,0,0,0,0,0,4.94977906346321e-11,-6.8196251988411e-11,0,51.1349138227399,39.9840733229825
"12",2025-08-05 02:45:00,0,0,0,0,0,0,0,0,0,4.11241874098778e-11,4.47280984371901e-12,0,51.1349138227399,39.9840733229825
"13",2025-08-05 03:00:00,0,0,0,0,0,0,0,0,0,1.09518021345139e-11,1.90441799350083e-12,0,51.1349138227399,39.9840733229825
"14",2025-08-05 03:15:00,0,0,0,0,0,0,0,0,0,-1.9520241767168e-11,1.812350936234e-11,0,51.1349138227399,39.9840733229825
"15",2025-08-05 03:30:00,0,0,0,0,0,0,0,0,0,-2.79643125832081e-11,-2.1028121933341e-11,0,51.1349138227399,39.9840733229825
"16",2025-08-05 03:45:00,0,0,0,0,0,0,0,0,0,-2.38904505968094e-11,2.66607776284218e-11,0,51.1349138227399,39.9840733229825
"17",2025-08-05 04:00:00,0,0,0,0,0,0,0,0,0,1.50765692815185e-11,-5.03096058964729e-11,0,51.1349138227399,39.9840733229825
"18",2025-08-05 04:15:00,0,0,0,0,0,0,0,0,0,-1.71520933508873e-11,-3.22074517607689e-11,0,51.1349138227399,39.9840733229825
"19",2025-08-05 04:30:00,0,0,0,0,0,0,0,0,0,4.93042953312397e-11,-2.74486057460308e-11,0,51.1349138227399,39.9840733229825
"20",2025-08-05 04:45:00,0,0,0,0,0,0,0,0,0,3.5673514008522e-11,1.648885384202e-11,0,51.1349138227399,39.9840733229825
"21",2025-08-05 05:00:00,0,0,0,0,0,0,0,0,0,-1.66241079568863e-11,-2.39916555583477e-11,0,51.1349138227399,39.9840733229825
"22",2025-08-05 05:15:00,0,0,378,383,381,0.2,0.1,0.3,59.9,0.0450762569904327,0.00252680853009224,0,51.1349138227399,39.9840733229825
"23",2025-08-05 05:30:00,0.2,0,378,384,382,4.7,4.8,5,60,0.292088478803635,0.10115602016449,0,51.1349138227399,39.9840733229825
"24",2025-08-05 05:45:00,0.5,0.3,375,379,377,4.8,5,5.3,59.9,0.363497823476791,0.293009448051453,0,51.1349138227399,39.9840733229825
"25",2025-08-05 06:00:00,0,0,376,379,378,0.2,0.1,0.2,59.9,0.857872009277344,0.730903901159763,0,51.1349138227399,39.9840733229825
"26",2025-08-05 06:15:00,2.6,2.4,375,380,378,6,6.1,6.7,59.9,2.35808050632477,2.7087386906147,0,51.1349138227399,39.9840733229825
"27",2025-08-05 06:30:00,4.1,4,374,377,375,7.1,7.1,7.6,60,4.40963997840881,4.05033826828003,0,51.1349138227399,39.9840733229825
"28",2025-08-05 06:45:00,6.6,6.4,374,379,377,10.3,10.6,11.7,60,6.66836991906166,7.26852416992188,0,51.1349138227399,39.9840733229825
"29",2025-08-05 07:00:00,9,8.9,375,377,376,14.3,14,15.3,59.9,7.7402307510376,9.03731775283813,0,51.1349138227399,39.9840733229825
"30",2025-08-05 07:15:00,11.9,11.9,376,379,377,18.7,18.3,19.6,60,10.9279699921608,11.0963752269745,0,51.1349138227399,39.9840733229825
"31",2025-08-05 07:30:00,14.4,14.4,373,377,375,22.7,22.1,23.5,60,12.1166034936905,12.4096564888954,0,51.1349138227399,39.9840733229825
"32",2025-08-05 07:45:00,17.2,16.9,377,379,377,26.4,25.9,27.3,59.9,15.8411689519882,15.0059855639935,0,51.1349138227399,39.9840733229825
"33",2025-08-05 08:00:00,20.6,20.4,377,379,379,31.4,31.1,32.4,60,16.9948774337769,17.8101476669312,0,51.1349138227399,39.9840733229825
"34",2025-08-05 08:15:00,22.7,22.7,377,378,378,34.6,34.4,35.6,60,18.4816200792789,19.4371745467186,0,51.1349138227399,39.9840733229825
"35",2025-08-05 08:30:00,25.4,25.1,376,379,378,38.9,38.3,39.7,60,19.2481292963028,21.1716675877571,0,51.1349138227399,39.9840733229825
