"","collect_date","Inv_PV_kW","Inv_kW","Inv_RS_V","Inv_ST_V","Inv_TR_V","Inv_R_A","Inv_S_A","Inv_T_A","Inv_Hz","DC_hat","AC_hat","decision","tau","error"
"1",2025-08-21,0,0,0,0,0,0,0,0,0,-1.47343697026372e-11,-3.27758267521858e-11,0,51.1349138227399,26.3154351299719
"2",2025-08-21 00:15:00,0,0,0,0,0,0,0,0,0,4.04357984662056e-11,2.49603465199471e-11,0,51.1349138227399,26.3154351299719
"3",2025-08-21 00:30:00,0,0,0,0,0,0,0,0,0,-2.21074335277081e-11,-1.4240731485188e-11,0,51.1349138227399,26.3154351299719
"4",2025-08-21 00:45:00,0,0,0,0,0,0,0,0,0,1.91952064633369e-11,2.80926330015063e-12,0,51.1349138227399,26.3154351299719
"5",2025-08-21 01:00:00,0,0,0,0,0,0,0,0,0,2.03949864953756e-11,-7.12694972753525e-12,0,51.1349138227399,26.3154351299719
"6",2025-08-21 01:15:00,0,0,0,0,0,0,0,0,0,4.07331399619579e-11,-3.50051075220108e-11,0,51.1349138227399,26.3154351299719
"7",2025-08-21 01:30:00,0,0,0,0,0,0,0,0,0,2.65794210135937e-11,-4.89438734948635e-11,0,51.1349138227399,26.3154351299719
"8",2025-08-21 01:45:00,0,0,0,0,0,0,0,0,0,1.4652730897069e-11,2.98443604260683e-11,0,51.1349138227399,26.3154351299719
"9",2025-08-21 02:00:00,0,0,0,0,0,0,0,0,0,7.94672314077616e-12,-3.56108546257019e-11,0,51.1349138227399,26.3154351299719
"10",2025-08-21 02:15:00,0,0,0,0,0,0,0,0,0,1.54944583773613e-11,-4.82021011412144e-11,0,51.1349138227399,26.3154351299719
"11",2025-08-21 02:30:00,0,0,0,0,0,0,0,0,0,3.1971663236618e-11,-2.90359109640121e-11,0,51.1349138227399,26.3154351299719
"12",2025-08-21 02:45:00,0,0,0,0,0,0,0,0,0,-2.5382325053215e-11,3.60191520303488e-12,0,51.1349138227399,26.3154351299719
"13",2025-08-21 03:00:00,0,0,0,0,0,0,0,0,0,4.5815609395504e-11,-2.35236454755068e-11,0,51.1349138227399,26.3154351299719
"14",2025-08-21 03:15:00,0,0,0,0,0,0,0,0,0,-9.43046296015382e-13,8.1735122948885e-12,0,51.1349138227399,26.3154351299719
"15",2025-08-21 03:30:00,0,0,0,0,0,0,0,0,0,-4.3130487203598e-11,3.51563282310963e-12,0,51.1349138227399,26.3154351299719
"16",2025-08-21 03:45:00,0,0,0,0,0,0,0,0,0,9.99289378523827e-12,-7.55118578672409e-12,0,51.1349138227399,26.3154351299719
"17",2025-08-21 04:00:00,0,0,0,0,0,0,0,0,0,-6.00882209837437e-11,-3.60305309295654e-11,0,51.1349138227399,26.3154351299719
"18",2025-08-21 04:15:00,0,0,0,0,0,0,0,0,0,-3.83565668016672e-12,1.86719950288534e-11,0,51.1349138227399,26.3154351299719
"19",2025-08-21 04:30:00,0,0,0,0,0,0,0,0,0,-4.47154231369495e-12,-3.5839419811964e-11,0,51.1349138227399,26.3154351299719
"20",2025-08-21 04:45:00,0,0,0,0,0,0,0,0,0,2.46783383190632e-11,-4.42264638841152e-11,0,51.1349138227399,26.3154351299719
"21",2025-08-21 05:00:00,0,0,0,0,0,0,0,0,0,1.96711774915457e-11,-3.18097546696663e-11,0,51.1349138227399,26.3154351299719
"22",2025-08-21 05:15:00,0,0,0,0,0,0,0,0,0,-0.0342619806528091,0.00517554096877575,0,51.1349138227399,26.3154351299719
"23",2025-08-21 05:30:00,0,0,375,379,377,0.2,0.2,0.3,59.9,0.0354095958173275,-0.0715119682252407,0,51.1349138227399,26.3154351299719
"24",2025-08-21 05:45:00,0.3,0,373,378,376,4.7,4.7,5,60,0.154783651232719,-0.0124961385503411,0,51.1349138227399,26.3154351299719
"25",2025-08-21 06:00:00,0.7,0.3,372,377,375,4.8,4.8,5.3,60,0.446047154068947,0.0507737318985164,0,51.1349138227399,26.3154351299719
"26",2025-08-21 06:15:00,0,0,379,383,382,0.2,0.1,0.2,60,0.351695638149977,0.536716285347939,0,51.1349138227399,26.3154351299719
"27",2025-08-21 06:30:00,2.6,2.3,378,382,379,5.5,5.7,6.2,59.9,1.76947692930698,1.97838747501373,0,51.1349138227399,26.3154351299719
"28",2025-08-21 06:45:00,4.2,4.1,376,380,379,7.3,7.2,7.8,59.9,3.25632753968239,3.57521563768387,0,51.1349138227399,26.3154351299719
"29",2025-08-21 07:00:00,8.7,8.4,376,379,378,13.5,13.4,14.6,60,5.95724113881588,5.28682565689087,0,51.1349138227399,26.3154351299719
"30",2025-08-21 07:15:00,13.2,13,375,379,378,20.6,20.2,21.5,60,7.20778737962246,6.78689670562744,0,51.1349138227399,26.3154351299719
"31",2025-08-21 07:30:00,11.6,11.1,375,379,377,18,17.6,18.9,60,9.21265157461166,8.12965134084225,0,51.1349138227399,26.3154351299719
"32",2025-08-21 07:45:00,9.1,8.7,374,378,377,13.9,13.6,14.7,59.9,9.80498530864716,7.32748906910419,0,51.1349138227399,26.3154351299719
"33",2025-08-21 08:00:00,7.4,7.1,377,379,379,11.4,11.3,12.1,59.9,11.3835247278213,11.1793304443359,0,51.1349138227399,26.3154351299719
"34",2025-08-21 08:15:00,9.6,9.4,376,378,378,14.7,14.5,15.6,60,12.0551123231649,15.2898810088634,0,51.1349138227399,26.3154351299719
"35",2025-08-21 08:30:00,14.8,14.6,377,380,379,22.7,22.4,23.4,60,17.7546541929245,17.6515828728676,0,51.1349138227399,26.3154351299719
"36",2025-08-21 08:45:00,22,21.6,376,379,379,33.4,33.1,34.1,60,19.223477268219,18.7109563231468,0,51.1349138227399,26.3154351299719
"37",2025-08-21 09:00:00,21.9,21.6,375,377,377,33.5,33.2,34.4,59.9,20.1909945726395,19.1046504974365,0,51.1349138227399,26.3154351299719
"38",2025-08-21 09:15:00,33.5,33.2,374,378,376,51.2,50.9,52.2,60,22.5911459684372,23.0547508001328,0,51.1349138227399,26.3154351299719
"39",2025-08-21 09:30:00,34,33.2,375,378,377,52.7,52.4,53.6,60,26.5386754512787,26.1417980074883,0,51.1349138227399,26.3154351299719
"40",2025-08-21 09:45:00,14.4,14.1,378,380,380,22,21.7,22.7,60,24.3803955078125,24.2033290863037,0,51.1349138227399,26.3154351299719
"41",2025-08-21 10:00:00,19.1,18.9,379,381,381,29.1,28.7,29.9,60,21.824535369873,23.5860098600388,0,51.1349138227399,26.3154351299719
