"","collect_date","Inv_PV_kW","Inv_kW","Inv_RS_V","Inv_ST_V","Inv_TR_V","Inv_R_A","Inv_S_A","Inv_T_A","Inv_Hz","DC_hat","AC_hat","decision","tau","error"
"1",2025-08-04,0,0,0,0,0,0,0,0,0,-4.97342608869076e-11,-2.18083374202251e-11,0,51.1349138227399,35.0830259755421
"2",2025-08-04 00:15:00,0,0,0,0,0,0,0,0,0,-2.76663340628147e-11,9.92471911013126e-12,0,51.1349138227399,35.0830259755421
"3",2025-08-04 00:30:00,0,0,0,0,0,0,0,0,0,-3.81549559533596e-11,1.14556020125747e-11,0,51.1349138227399,35.0830259755421
"4",2025-08-04 00:45:00,0,0,0,0,0,0,0,0,0,-6.7097689025104e-12,1.24810226261616e-11,0,51.1349138227399,35.0830259755421
"5",2025-08-04 01:00:00,0,0,0,0,0,0,0,0,0,-1.51078086346388e-11,-2.90320068597794e-11,0,51.1349138227399,35.0830259755421
"6",2025-08-04 01:15:00,0,0,0,0,0,0,0,0,0,3.54190915822983e-12,4.01853257790208e-12,0,51.1349138227399,35.0830259755421
"7",2025-08-04 01:30:00,0,0,0,0,0,0,0,0,0,-3.5719838924706e-12,9.19311307370663e-12,0,51.1349138227399,35.0830259755421
"8",2025-08-04 01:45:00,0,0,0,0,0,0,0,0,0,1.43637973815203e-11,-1.4558844268322e-11,0,51.1349138227399,35.0830259755421
"9",2025-08-04 02:00:00,0,0,0,0,0,0,0,0,0,-1.97108015418053e-11,5.68638928234577e-11,0,51.1349138227399,35.0830259755421
"10",2025-08-04 02:15:00,0,0,0,0,0,0,0,0,0,-1.3556832447648e-11,-1.88640765845776e-11,0,51.1349138227399,35.0830259755421
"11",2025-08-04 02:30:00,0,0,0,0,0,0,0,0,0,-2.26692259311676e-11,-2.09578648209572e-11,0,51.1349138227399,35.0830259755421
"12",2025-08-04 02:45:00,0,0,0,0,0,0,0,0,0,-6.87619997188449e-12,2.00479589402676e-11,0,51.1349138227399,35.0830259755421
"13",2025-08-04 03:00:00,0,0,0,0,0,0,0,0,0,-5.5213775485754e-12,3.33989299833775e-11,0,51.1349138227399,35.0830259755421
"14",2025-08-04 03:15:00,0,0,0,0,0,0,0,0,0,2.68384031951427e-11,-7.51603208482265e-12,0,51.1349138227399,35.0830259755421
"15",2025-08-04 03:30:00,0,0,0,0,0,0,0,0,0,5.16668111085892e-11,-1.300891302526e-11,0,51.1349138227399,35.0830259755421
"16",2025-08-04 03:45:00,0,0,0,0,0,0,0,0,0,-1.76033228635788e-11,1.09358504414558e-11,0,51.1349138227399,35.0830259755421
"17",2025-08-04 04:00:00,0,0,0,0,0,0,0,0,0,3.86056713759899e-11,-4.9141994677484e-12,0,51.1349138227399,35.0830259755421
"18",2025-08-04 04:15:00,0,0,0,0,0,0,0,0,0,9.99092217534781e-12,-2.10217442363501e-11,0,51.1349138227399,35.0830259755421
"19",2025-08-04 04:30:00,0,0,0,0,0,0,0,0,0,-1.82496644556522e-11,1.05571495369077e-11,0,51.1349138227399,35.0830259755421
"20",2025-08-04 04:45:00,0,0,0,0,0,0,0,0,0,-1.77582111209631e-11,3.36895622313023e-11,0,51.1349138227399,35.0830259755421
"21",2025-08-04 05:00:00,0,0,0,0,0,0,0,0,0,-7.74264894425869e-12,-5.56471478193998e-12,0,51.1349138227399,35.0830259755421
"22",2025-08-04 05:15:00,0,0,0,0,0,0,0,0,0,0.0259661614894867,0.00110382856801152,0,51.1349138227399,35.0830259755421
"23",2025-08-04 05:30:00,0,0,374,378,375,0.2,0.3,0.3,59.9,0.122549012303352,0.0153627905994654,0,51.1349138227399,35.0830259755421
"24",2025-08-04 05:45:00,0.1,0,372,376,374,4.7,4.8,5.1,59.9,0.16560722887516,-0.0151346040889621,0,51.1349138227399,35.0830259755421
"25",2025-08-04 06:00:00,0.4,0.2,376,380,378,4.9,4.9,5.4,59.9,0.685547615587711,0.506268471479416,0,51.1349138227399,35.0830259755421
"26",2025-08-04 06:15:00,0,0,376,380,378,0.1,0.1,0.2,60,0.854935808479786,0.711906626820564,0,51.1349138227399,35.0830259755421
"27",2025-08-04 06:30:00,1.4,1.1,376,378,377,5.1,5,5.5,60,1.94095477163792,1.57253313064575,0,51.1349138227399,35.0830259755421
"28",2025-08-04 06:45:00,2,1.7,374,378,376,5.3,5.3,5.8,59.9,3.4200790554285,2.75091171264648,0,51.1349138227399,35.0830259755421
"29",2025-08-04 07:00:00,5.3,5.2,377,380,379,8.8,8.5,9.3,59.9,5.03640815913677,5.21480476856232,0,51.1349138227399,35.0830259755421
"30",2025-08-04 07:15:00,7.1,6.9,375,378,377,11.4,11.3,12.4,59.9,6.29815502464771,5.21611060202122,0,51.1349138227399,35.0830259755421
"31",2025-08-04 07:30:00,17,17.2,376,378,377,26.7,26.3,27.5,59.9,8.05325231552124,8.10422373116016,0,51.1349138227399,35.0830259755421
"32",2025-08-04 07:45:00,12.4,12.3,374,376,375,19.5,18.9,20.2,60,9.21209037303925,9.45597584247589,0,51.1349138227399,35.0830259755421
"33",2025-08-04 08:00:00,13.2,13.1,373,375,374,20.8,20.1,21.5,59.9,9.77393925189972,10.4109445095062,0,51.1349138227399,35.0830259755421
"34",2025-08-04 08:15:00,19.4,17.2,376,379,378,27.9,27.5,28.6,59.9,13.049885264039,10.9675331443548,0,51.1349138227399,35.0830259755421
"35",2025-08-04 08:30:00,21.2,21.4,375,377,376,33.7,33.4,34.8,60,18.1512800931931,16.8235078334808,0,51.1349138227399,35.0830259755421
