"","collect_date","Inv_PV_kW","Inv_kW","Inv_RS_V","Inv_ST_V","Inv_TR_V","Inv_R_A","Inv_S_A","Inv_T_A","Inv_Hz","DC_hat","AC_hat","decision","tau","error"
"1",2025-08-12,0,0,0,0,0,0,0,0,0,-2.24059708416462e-11,-3.95064577460289e-11,0,51.1349138227399,10.4792202136552
"2",2025-08-12 00:15:00,0,0,0,0,0,0,0,0,0,4.32441607117653e-11,-5.3176935762167e-12,0,51.1349138227399,10.4792202136552
"3",2025-08-12 00:30:00,0,0,0,0,0,0,0,0,0,9.17999166995287e-12,2.46376618742943e-11,0,51.1349138227399,10.4792202136552
"4",2025-08-12 00:45:00,0,0,0,0,0,0,0,0,0,9.70306247472763e-12,1.09808743000031e-11,0,51.1349138227399,10.4792202136552
"5",2025-08-12 01:00:00,0,0,0,0,0,0,0,0,0,1.3935936614871e-11,1.52467042207718e-11,0,51.1349138227399,10.4792202136552
"6",2025-08-12 01:15:00,0,0,0,0,0,0,0,0,0,2.52565741539001e-12,-1.30719002336264e-11,0,51.1349138227399,10.4792202136552
"7",2025-08-12 01:30:00,0,0,0,0,0,0,0,0,0,3.45475561916828e-11,-3.9369709789753e-11,0,51.1349138227399,10.4792202136552
"8",2025-08-12 01:45:00,0,0,0,0,0,0,0,0,0,2.46610660105944e-11,8.63400101661682e-12,0,51.1349138227399,10.4792202136552
"9",2025-08-12 02:00:00,0,0,0,0,0,0,0,0,0,-9.90198459476233e-12,-9.81190428137779e-12,0,51.1349138227399,10.4792202136552
"10",2025-08-12 02:15:00,0,0,0,0,0,0,0,0,0,1.35903833433986e-11,-4.8978965729475e-11,0,51.1349138227399,10.4792202136552
"11",2025-08-12 02:30:00,0,0,0,0,0,0,0,0,0,1.21735688298941e-11,-3.17048467695713e-11,0,51.1349138227399,10.4792202136552
"12",2025-08-12 02:45:00,0,0,0,0,0,0,0,0,0,-1.75339914858341e-11,-1.89174376428127e-11,0,51.1349138227399,10.4792202136552
"13",2025-08-12 03:00:00,0,0,0,0,0,0,0,0,0,3.90244722366333e-11,2.13078837841749e-11,0,51.1349138227399,10.4792202136552
"14",2025-08-12 03:15:00,0,0,0,0,0,0,0,0,0,1.96357723325491e-14,-2.16667782515287e-11,0,51.1349138227399,10.4792202136552
"15",2025-08-12 03:30:00,0,0,0,0,0,0,0,0,0,-2.3334164172411e-11,1.97405554354191e-12,0,51.1349138227399,10.4792202136552
"16",2025-08-12 03:45:00,0,0,0,0,0,0,0,0,0,2.94694304466248e-11,1.9640251994133e-12,0,51.1349138227399,10.4792202136552
"17",2025-08-12 04:00:00,0,0,0,0,0,0,0,0,0,-2.07280740141869e-11,-4.19719405472279e-11,0,51.1349138227399,10.4792202136552
"18",2025-08-12 04:15:00,0,0,0,0,0,0,0,0,0,1.58064737915993e-11,-1.04187037795782e-11,0,51.1349138227399,10.4792202136552
"19",2025-08-12 04:30:00,0,0,0,0,0,0,0,0,0,-7.4725104495883e-12,-4.02221493422985e-11,0,51.1349138227399,10.4792202136552
"20",2025-08-12 04:45:00,0,0,0,0,0,0,0,0,0,5.94554841518402e-12,-1.45332030951977e-11,0,51.1349138227399,10.4792202136552
"21",2025-08-12 05:00:00,0,0,0,0,0,0,0,0,0,1.46581288427114e-11,7.23322201520205e-12,0,51.1349138227399,10.4792202136552
"22",2025-08-12 05:15:00,0,0,0,0,0,0,0,0,0,-0.0199395313858986,0.00608365088701248,0,51.1349138227399,10.4792202136552
"23",2025-08-12 05:30:00,0,0,377,381,379,0.2,0.2,0.3,59.9,0.0882413163781166,-0.0177714478224516,0,51.1349138227399,10.4792202136552
"24",2025-08-12 05:45:00,0.3,0.1,374,379,378,4.6,4.8,5.1,59.9,0.16747410595417,0.0623622179031372,0,51.1349138227399,10.4792202136552
"25",2025-08-12 06:00:00,1,0.7,372,377,375,4.8,5,5.5,60,0.634178054332733,0.289815910160542,0,51.1349138227399,10.4792202136552
"26",2025-08-12 06:15:00,1.4,1.2,378,382,380,5.2,5.5,6,60,0.845339119434357,0.880066360533238,0,51.1349138227399,10.4792202136552
"27",2025-08-12 06:30:00,2.4,2.2,377,382,381,5.6,5.8,6.4,60,2.46875375509262,2.19379425048828,0,51.1349138227399,10.4792202136552
"28",2025-08-12 06:45:00,3.6,3.4,374,378,377,6.7,6.7,7.3,59.9,4.33779228329659,4.23969954252243,0,51.1349138227399,10.4792202136552
"29",2025-08-12 07:00:00,5.3,5.3,373,377,376,8.9,8.7,9.4,60,6.97923803329468,6.14333939552307,0,51.1349138227399,10.4792202136552
"30",2025-08-12 07:15:00,5.4,5.2,376,379,378,8.8,8.6,9.3,60,8.06077021360397,7.52605758607388,0,51.1349138227399,10.4792202136552
"31",2025-08-12 07:30:00,6.8,6.7,377,380,379,10.8,10.8,11.9,60,10.8963740587234,10.0344382405281,0,51.1349138227399,10.4792202136552
"32",2025-08-12 07:45:00,7.7,7.6,374,377,376,12.2,12,13.1,60,11.7514422178268,9.55435307323933,0,51.1349138227399,10.4792202136552
"33",2025-08-12 08:00:00,9.2,9.1,374,377,377,14.4,14,15.3,59.9,13.261669921875,13.0833207607269,0,51.1349138227399,10.4792202136552
"34",2025-08-12 08:15:00,13.6,13.5,377,379,378,21.2,20.6,21.8,59.9,15.1940197706223,16.7860963225365,0,51.1349138227399,10.4792202136552
"35",2025-08-12 08:30:00,30.8,30.7,375,378,377,47.3,46.7,48.2,59.9,21.1133090019226,20.9880573451519,0,51.1349138227399,10.4792202136552
"36",2025-08-12 08:45:00,26.3,26,375,377,376,40.3,39.8,41.1,59.9,22.8336898803711,21.3133975148201,0,51.1349138227399,10.4792202136552
"37",2025-08-12 09:00:00,28,27.7,379,381,380,42.2,41.8,43.2,60,23.4571260333061,23.9962105751038,0,51.1349138227399,10.4792202136552
"38",2025-08-12 09:15:00,31,30.7,380,383,382,46.6,46.4,47.5,60,27.0459413409233,28.0922597646713,0,51.1349138227399,10.4792202136552
"39",2025-08-12 09:30:00,32.6,32.4,381,382,383,49.3,48.8,50.2,60,29.9477832257748,30.565292930603,0,51.1349138227399,10.4792202136552
"40",2025-08-12 09:45:00,34.1,33.8,380,382,382,51.4,51.2,52.3,60,28.3773138046265,27.9760646820068,0,51.1349138227399,10.4792202136552
"41",2025-08-12 10:00:00,36,35.8,379,381,380,54.6,54.1,55.4,60,28.5786320567131,27.6293127059936,0,51.1349138227399,10.4792202136552
