"","collect_date","Inv_PV_kW","Inv_kW","Inv_RS_V","Inv_ST_V","Inv_TR_V","Inv_R_A","Inv_S_A","Inv_T_A","Inv_Hz","DC_hat","AC_hat","decision","tau","error"
"1",2025-08-30,0,0,0,0,0,0,0,0,0,1.17133734747767e-11,1.96597166359425e-11,1,51.1349138227399,56.6115452511802
"2",2025-08-30 00:15:00,0,0,0,0,0,0,0,0,0,4.39382679760456e-11,-4.40884903073311e-11,1,51.1349138227399,56.6115452511802
"3",2025-08-30 00:30:00,0,0,0,0,0,0,0,0,0,4.7564335167408e-11,7.81408250331879e-11,1,51.1349138227399,56.6115452511802
"4",2025-08-30 00:45:00,0,0,0,0,0,0,0,0,0,-5.26028824970126e-12,-5.15887187793851e-12,1,51.1349138227399,56.6115452511802
"5",2025-08-30 01:00:00,0,0,0,0,0,0,0,0,0,4.22337353229523e-11,3.01309525966644e-11,1,51.1349138227399,56.6115452511802
"6",2025-08-30 01:15:00,0,0,0,0,0,0,0,0,0,-3.60545888543129e-11,-3.25228460133076e-11,1,51.1349138227399,56.6115452511802
"7",2025-08-30 01:30:00,0,0,0,0,0,0,0,0,0,-1.00985588505864e-12,8.66204220801592e-12,1,51.1349138227399,56.6115452511802
"8",2025-08-30 01:45:00,0,0,0,0,0,0,0,0,0,8.54900665581226e-12,-7.53734447062016e-12,1,51.1349138227399,56.6115452511802
"9",2025-08-30 02:00:00,0,0,0,0,0,0,0,0,0,5.33385872840881e-11,-4.90589626133442e-11,1,51.1349138227399,56.6115452511802
"10",2025-08-30 02:15:00,0,0,0,0,0,0,0,0,0,-6.52220158372074e-13,-1.89349595457315e-11,1,51.1349138227399,56.6115452511802
"11",2025-08-30 02:30:00,0,0,0,0,0,0,0,0,0,2.62899361550808e-11,-2.16718912124634e-11,1,51.1349138227399,56.6115452511802
"12",2025-08-30 02:45:00,0,0,0,0,0,0,0,0,0,5.58156007900834e-12,-2.13292799890041e-11,1,51.1349138227399,56.6115452511802
"13",2025-08-30 03:00:00,0,0,0,0,0,0,0,0,0,-3.69359739124775e-12,5.89111186563969e-11,1,51.1349138227399,56.6115452511802
"14",2025-08-30 03:15:00,0,0,0,0,0,0,0,0,0,-6.30473643541336e-11,-3.17997001111507e-11,1,51.1349138227399,56.6115452511802
"15",2025-08-30 03:30:00,0,0,0,0,0,0,0,0,0,-4.39505204558373e-11,-1.31596829742193e-11,1,51.1349138227399,56.6115452511802
"16",2025-08-30 03:45:00,0,0,0,0,0,0,0,0,0,9.10951569676399e-12,-2.0982138812542e-11,1,51.1349138227399,56.6115452511802
"17",2025-08-30 04:00:00,0,0,0,0,0,0,0,0,0,-3.91411371529102e-11,4.74892780184746e-11,1,51.1349138227399,56.6115452511802
"18",2025-08-30 04:15:00,0,0,0,0,0,0,0,0,0,-2.16454789042473e-11,1.21897999197245e-11,1,51.1349138227399,56.6115452511802
"19",2025-08-30 04:30:00,0,0,0,0,0,0,0,0,0,1.1375492438674e-11,-1.78813096135855e-12,1,51.1349138227399,56.6115452511802
