"","collect_date","Inv_PV_kW","Inv_kW","Inv_RS_V","Inv_ST_V","Inv_TR_V","Inv_R_A","Inv_S_A","Inv_T_A","Inv_Hz","DC_hat","AC_hat","decision","tau","error"
"1",2025-08-28,0,0,0,0,0,0,0,0,0,9.58282873034477e-12,3.72508987784386e-11,0,51.1349138227399,30.7302080294363
"2",2025-08-28 00:15:00,0,0,0,0,0,0,0,0,0,2.08956077694893e-11,6.7663355730474e-13,0,51.1349138227399,30.7302080294363
"3",2025-08-28 00:30:00,0,0,0,0,0,0,0,0,0,5.88395856320858e-11,1.50977717712522e-11,0,51.1349138227399,30.7302080294363
"4",2025-08-28 00:45:00,0,0,0,0,0,0,0,0,0,-2.4647219106555e-13,-3.66911143064499e-11,0,51.1349138227399,30.7302080294363
"5",2025-08-28 01:00:00,0,0,0,0,0,0,0,0,0,8.27973522245884e-12,1.58944725990295e-12,0,51.1349138227399,30.7302080294363
"6",2025-08-28 01:15:00,0,0,0,0,0,0,0,0,0,-4.04022634029388e-11,-2.97597162425518e-11,0,51.1349138227399,30.7302080294363
"7",2025-08-28 01:30:00,0,0,0,0,0,0,0,0,0,3.60538475215435e-11,-1.74154359847307e-11,0,51.1349138227399,30.7302080294363
"8",2025-08-28 01:45:00,0,0,0,0,0,0,0,0,0,-3.77516448497772e-11,-2.13219504803419e-12,0,51.1349138227399,30.7302080294363
"9",2025-08-28 02:00:00,0,0,0,0,0,0,0,0,0,4.05407473444939e-11,1.15318857133389e-11,0,51.1349138227399,30.7302080294363
"10",2025-08-28 02:15:00,0,0,0,0,0,0,0,0,0,7.39152822643518e-12,9.51997749507427e-12,0,51.1349138227399,30.7302080294363
"11",2025-08-28 02:30:00,0,0,0,0,0,0,0,0,0,1.44606325775385e-11,-5.23889027535915e-11,0,51.1349138227399,30.7302080294363
"12",2025-08-28 02:45:00,0,0,0,0,0,0,0,0,0,7.96462371945381e-11,2.25476995110512e-11,0,51.1349138227399,30.7302080294363
"13",2025-08-28 03:00:00,0,0,0,0,0,0,0,0,0,3.15589979290962e-11,-2.64519322663546e-11,0,51.1349138227399,30.7302080294363
