"","collect_date","Inv_PV_kW","Inv_kW","Inv_RS_V","Inv_ST_V","Inv_TR_V","Inv_R_A","Inv_S_A","Inv_T_A","Inv_Hz","DC_hat","AC_hat","decision","tau","error"
"1",2025-08-16,0,0,0,0,0,0,0,0,0,2.42212954908609e-11,2.7962040156126e-11,1,51.1349138227399,51.134927291862
"2",2025-08-16 00:15:00,0,0,0,0,0,0,0,0,0,3.11798136681318e-12,5.63393905758858e-12,1,51.1349138227399,51.134927291862
"3",2025-08-16 00:30:00,0,0,0,0,0,0,0,0,0,6.55378103256226e-11,2.12604627013207e-11,1,51.1349138227399,51.134927291862
"4",2025-08-16 00:45:00,0,0,0,0,0,0,0,0,0,2.11036801338196e-11,-2.36021839082241e-11,1,51.1349138227399,51.134927291862
"5",2025-08-16 01:00:00,0,0,0,0,0,0,0,0,0,3.53602916002274e-11,3.19585129618645e-11,1,51.1349138227399,51.134927291862
"6",2025-08-16 01:15:00,0,0,0,0,0,0,0,0,0,-7.14140087366104e-11,-8.58140736818314e-11,1,51.1349138227399,51.134927291862
"7",2025-08-16 01:30:00,0,0,0,0,0,0,0,0,0,-3.07298339903355e-11,3.46109755337238e-11,1,51.1349138227399,51.134927291862
"8",2025-08-16 01:45:00,0,0,0,0,0,0,0,0,0,-1.61523949354887e-11,2.73900683969259e-11,1,51.1349138227399,51.134927291862
"9",2025-08-16 02:00:00,0,0,0,0,0,0,0,0,0,4.25852835178375e-11,-5.86848482489586e-11,1,51.1349138227399,51.134927291862
"10",2025-08-16 02:15:00,0,0,0,0,0,0,0,0,0,5.41660413146019e-11,-1.94275863468647e-11,1,51.1349138227399,51.134927291862
"11",2025-08-16 02:30:00,0,0,0,0,0,0,0,0,0,1.62634793668985e-11,-2.58959643542767e-11,1,51.1349138227399,51.134927291862
"12",2025-08-16 02:45:00,0,0,0,0,0,0,0,0,0,2.69005224108696e-11,-3.44186313450336e-11,1,51.1349138227399,51.134927291862
"13",2025-08-16 03:00:00,0,0,0,0,0,0,0,0,0,-1.51405837386847e-11,3.64610366523266e-11,1,51.1349138227399,51.134927291862
"14",2025-08-16 03:15:00,0,0,0,0,0,0,0,0,0,8.21117078885436e-13,-4.59305010735989e-12,1,51.1349138227399,51.134927291862
"15",2025-08-16 03:30:00,0,0,0,0,0,0,0,0,0,-4.71424423158169e-11,-3.12109906226397e-11,1,51.1349138227399,51.134927291862
"16",2025-08-16 03:45:00,0,0,0,0,0,0,0,0,0,2.62375138700008e-11,-8.81566852331162e-12,1,51.1349138227399,51.134927291862
"17",2025-08-16 04:00:00,0,0,0,0,0,0,0,0,0,-2.08551324903965e-11,4.02294844388962e-11,1,51.1349138227399,51.134927291862
"18",2025-08-16 04:15:00,0,0,0,0,0,0,0,0,0,-3.16519513726234e-11,4.62134554982185e-11,1,51.1349138227399,51.134927291862
"19",2025-08-16 04:30:00,0,0,0,0,0,0,0,0,0,1.56822018325329e-11,9.22623742371798e-12,1,51.1349138227399,51.134927291862
"20",2025-08-16 04:45:00,0,0,0,0,0,0,0,0,0,-2.14827675372362e-11,-6.65244311094284e-11,1,51.1349138227399,51.134927291862
"21",2025-08-16 05:00:00,0,0,0,0,0,0,0,0,0,1.94547418504953e-11,-5.50080724060535e-11,1,51.1349138227399,51.134927291862
"22",2025-08-16 05:15:00,0,0,0,0,0,0,0,0,0,0.0251469641923904,0.00777296423912048,1,51.1349138227399,51.134927291862
"23",2025-08-16 05:30:00,0,0,373,377,375,0.2,0.3,0.3,59.9,0.149121329188347,0.0685008063912392,1,51.1349138227399,51.134927291862
"24",2025-08-16 05:45:00,0.1,0,374,377,375,4.9,4.8,5.2,59.9,0.460348755121231,0.278219828009605,1,51.1349138227399,51.134927291862
"25",2025-08-16 06:00:00,0.5,0.3,373,377,375,4.7,4.7,5.1,59.9,0.496176744997501,0.446045756340027,1,51.1349138227399,51.134927291862
"26",2025-08-16 06:15:00,0,0,371,376,374,0.2,0.1,0.3,59.9,1.18121723234653,0.870274153351784,1,51.1349138227399,51.134927291862
"27",2025-08-16 06:30:00,1.4,1.2,376,380,378,5.4,5.4,6.1,60,2.46047370433807,2.56075668334961,1,51.1349138227399,51.134927291862
"28",2025-08-16 06:45:00,3.2,3.1,378,381,379,6.6,6.5,7,60,4.44661151468754,5.2558821439743,1,51.1349138227399,51.134927291862
"29",2025-08-16 07:00:00,9.9,9.8,376,379,376,15.6,15.6,16.7,60,6.41013281941414,6.4182665348053,1,51.1349138227399,51.134927291862
"30",2025-08-16 07:15:00,4.5,4.5,374,378,376,7.8,7.8,8.5,60,7.24042269587517,7.44700786471367,1,51.1349138227399,51.134927291862
"31",2025-08-16 07:30:00,15,16,374,377,375,24.9,24.6,25.8,59.9,8.23674173355102,9.1904327750206,1,51.1349138227399,51.134927291862
"32",2025-08-16 07:45:00,17.8,17.8,377,380,379,27.6,27.5,29,60,10.1768835067749,10.6477530777454,1,51.1349138227399,51.134927291862
"33",2025-08-16 08:00:00,22.3,22.3,374,378,376,34.4,34.3,35.6,59.9,13.1343452453613,14.0776521205902,1,51.1349138227399,51.134927291862
"34",2025-08-16 08:15:00,26.1,25.8,377,380,379,39.6,39.6,40.9,59.9,15.4756895363331,17.0959757745266,1,51.1349138227399,51.134927291862
"35",2025-08-16 08:30:00,7.3,6.9,375,378,376,11.3,11.2,12.6,59.9,11.6954926490784,12.3855439126492,1,51.1349138227399,51.134927291862
"36",2025-08-16 08:45:00,6.8,6.7,375,380,377,10.7,10.8,12.1,60,18.5375912129879,17.6953842639923,1,51.1349138227399,51.134927291862
"37",2025-08-16 09:00:00,31.5,31.4,375,379,377,48.2,47.9,49.3,60,22.3258496642113,22.0971163749695,1,51.1349138227399,51.134927291862
"38",2025-08-16 09:15:00,18.1,28.2,374,378,376,43.3,42.8,44.4,60,22.3802636861801,20.9235366106033,1,51.1349138227399,51.134927291862
"39",2025-08-16 09:30:00,10.2,9.9,374,378,377,15.7,15.7,17.1,60,21.1004558980465,20.2403344631195,1,51.1349138227399,51.134927291862
"40",2025-08-16 09:45:00,9.8,9.3,374,378,377,15.1,15,16.4,59.9,22.378272819519,24.4943261146545,1,51.1349138227399,51.134927291862
"41",2025-08-16 10:00:00,37.8,37.5,375,379,377,57.7,57.4,59,59.9,27.5962967276573,26.4027695655823,1,51.1349138227399,51.134927291862
"42",2025-08-16 10:15:00,40.8,40.6,375,378,377,62.2,61.7,63.5,59.9,32.3914289712906,27.7693622589111,1,51.1349138227399,51.134927291862
"43",2025-08-16 10:30:00,46.7,47,374,378,376,71.8,71.7,73.1,59.9,31.6208376288414,33.6977088332176,1,51.1349138227399,51.134927291862
"44",2025-08-16 10:45:00,48.1,47.8,375,378,376,73.3,73.2,74.5,59.9,28.2161844491959,31.6734197676182,1,51.1349138227399,51.134927291862
"45",2025-08-16 11:00:00,42.6,42.2,374,377,376,64.9,64.4,66.1,59.9,32.1275469779968,32.8567185878754,1,51.1349138227399,51.134927291862
"46",2025-08-16 11:15:00,22.4,20.5,374,378,376,32.5,32.2,33.6,59.9,28.3418611168861,25.1212460696697,1,51.1349138227399,51.134927291862
"47",2025-08-16 11:30:00,45.2,40.5,376,379,377,66,65.8,67.3,59.9,35.9299561738968,28.6872352719307,1,51.1349138227399,51.134927291862
"48",2025-08-16 11:45:00,40.7,41,375,379,378,62.7,62.3,63.9,59.9,40.9442566335201,36.0965209007263,1,51.1349138227399,51.134927291862
"49",2025-08-16 12:00:00,18.5,18.2,375,379,376,28.4,28,29.6,59.9,28.7914132833481,30.3562637090683,1,51.1349138227399,51.134927291862
"50",2025-08-16 12:15:00,46.8,45.3,375,378,377,70.1,69.9,72.2,59.9,29.4910565853119,33.8518681049347,1,51.1349138227399,51.134927291862
